NO.,원질문,답변예시 (현업작성필요),비고,구분
19,가입한 보험의 자동이체 계좌번호 확인해주세요. CMA계좌 자동이체 된다고 들었는데 변경가능한가요?,"[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
유안타증권(구 동양종금)의 증권형 계좌(종류: CMA-MMW, CMA-RP, CMA-MMF형)는 자동이체 등록가능합니다.",,API+RAG
20,가입한 보험의 자동이체 계좌번호 확인해주세요. 통장을 미성년자인 딸통장으로 변경시 서류가 필요한가요?,"[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
미성년자 자녀 통장으로 변경시 대면채널인 경우 미성년자 기준의 관계확인서류가 필요하며, 친권자가 편부모인경우 미성년자 기준의 관계확인서류, 미성년자 기준의 기본증명서(친권자 확인용)가 필요합니다.",,API+RAG
21,"가입한 보험의 자동이체 계좌번호 확인해주세요. 미성년자인 딸통장으로 변경시 엄마,아빠 둘다 통화해야하나요?","[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
미성년자 자녀 통장으로 변경시 다른 친권자 업무 동의 시 친권자 1인 녹취, 미동의시 친권자 2인 동의 녹취 필수입니다.",,API+RAG
22,가입한 보험의 자동이체 계좌번호 확인해주세요. 현재 예금주가 남편이고 남편의 다른계좌로 변경한다고하는데 남편이 전화해도 되나요?,"[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
납입자 본인의 다른 계좌로 변경 요청하는 경우 납입자 통화만으로 처리 가능합니다.",,API+RAG
23,가입한 보험의 자동이체 이체일이 몇일인가요? 은행가서 보험료 계좌변경하려면 어떻게 해야하나요?,"[{상품명}] 계약의 보험료 자동이체일은 00일 입니다.
은행 방문을 통해 자동이체 계좌변경을 원할 경우 당사 CMA코드와 변경할 증권번호를 알고 예금주 본인이 방문하셔야 하며, 
예금주 신분증과 도장, 본인명의 통장이 필요합니다. 
- 계속보험료 CMA코드 : 9966010135 
- 납부자번호는 해당 증권번호 ",,API+RAG
24,가입한상품의 보험료 확인해줘. 자동이체시 보험료가 할인되는게 있고 안되는게 있는데 왜그런거지?,"가입하신 상품의 보험료는 다음과 같습니다. 
[{상품명}] 계약의 보험료 00원 
[{상품명}] 계약의 보험료 00원 
....
2019년 4월 1일 이전에 계약한 보장성 상품은 계좌 자동이체 시 할인이 적용되며, 2019.04.01일 이후에 계약한 보장성 상품은 자동이체 할인이 적용되지 않습니다. ",,API+RAG
25,가입한보험 자동이체 이체일이 몇일인가요? 혹시 이체가 안되면 다시 제출금되나요?,"[{상품명}] 계약의 보험료 자동이체일은 00일 입니다.
지정한 이체일에 출금되지 못한 경우 05일, 10일, 15일, 20일, 25일, 말일 중가까운 이체일정에 재 청구됩니다.",,API+RAG
26,유지중인  계약의 보험명(상품명)이 무엇인가요?,유지중인 계약의 상품명은 [{상품명}]  입니다.,,API
27,보험료 납부일이 몇 일로 되어 있나요?,[{상품명}] 계약의 보험료 납부일은 00일 입니다.,,API
28,보험 만기일이 언제인가요?,[{상품명}] 계약의 만기일은 00년00월00일 입니다.,,API
29,보험료 납입기간이 언제까지 인가요?,[{상품명}] 계약의 납입기간은 00년 입니다.,,API
30,보험기간이 어떻게 되나요?,[{상품명}] 계약의 보험기간은 00년 입니다.,,API
31,보험을 언제 가입했나요?,[{상품명}] 계약의 계약일자은 00년00월00일 입니다.,,API
32,담당자(설계사) 이름을 알려주세요.,[{상품명}] 계약의 담당자는 00지점 000 MP입니다.,,API
33,수익자가 누구로 되어 있나요?,"[{상품명}] 계약의 사망수익자는 000, 상해수익자는 000, 만기수익자는 000 입니다.",,API
34,A계약의 특약은 언제 종료 되었나요?,[{상품명}] 계약의 특약은 00년00월00일 만기되었습니다.,,API
35,어떤 계약에 부담보가 있나요?,"부담보가 설정된 계약은 총 0건입니다. 
[{상품명}] [{부담보내용}] 
[{상품명}] [{부담보내용}] 
....",,API
36,현제 마케팅동의가 되어 있나요?,"아닙니다. 고객님은 개인정보 마케팅활용동의를 하지 않으셨습니다.

네. 고객님은 현재 개인정보 마케팅활용동의가 되어있습니다.",,API
37,등록된 송금계좌는 어느 은행인가요?,"고객님의 송금계좌는 [{은행명}] [{계좌번호 마스킹}] 으로 등록되어 있습니다.
--> 여러개인 경우 여러개 모두 안내",,API
38,반환계좌가 어디로 등록되어 있나요?,고객님의 반환계좌는 [{은행명}] [{계좌번호 마스킹}] 으로 등록되어 있습니다.,,API
40,보험료가 얼마인지와 언제까지 납입했나요?,"[{상품명}] 계약의 보험료는 [{보험료 금액}]원이고, [{최종납입월}]까지 납부되어 있습니다",,API
41,자동이체 은행명과 보험료는 어떻게되나요?,"[{상품명}] 계약의 보험료는 [{보험료 금액}]원이고, 
[{은행명}]에서 매월 [{자동이체일}] 자동이체 되어 있습니다.",,API
42,현재 어떤 펀드에 어떻게 투입되고 있나요? 투입 비율은요?,"[{상품명}] 계약의 운영 펀드 종류와 투입비율은 다음과 같습니다. 
[{펀드명 1}] [{투입비율}]%
[{펀드명 1}] [{투입비율}]%
....",,API
43,주계약 내용이 무엇인가요?,[{상품명}] 계약의 주계약 내용은 [{주계약 보장내용}] 입니다. ,,API
44,휴면보험금 있는 계약이 있나요?,"*없는 경우 : 현재 휴면보험금이 있는 계약은 없습니다. 
*있는 경우 : 현재 휴면보험금이 있는 계약은 총 0건으로, 자세한 내용은 다음과 같습니다. 

[{상품명}] 휴면보험금 [{금액}]원
[{상품명}] 휴면보험금 [{금액}]원
....",,API
45,"연금 개시 나이가 어떻게 되나요? 
내보험 연금 개시 나이 확인해줘 
가입한 보험의 연금 개시 나이 알려줘 
연금 개시 나이가 몇살로 되어있나요? 
몇살부터 연금 게시 되나요?",증번 [{증권번호}] [{상품명}]의 연금개시 나이는 {    } 입니다. ,,API
46,"내보험 연금확정기간 확인해줘 
연금 확정기간이 어떻게 설정되어있나요? 
연금확정기간 몇 년으로 되어있나요? 
내보험의 연금확정기간 알려줘 
가입한 보험의 연금확정기간 알려줘",증번 [{증권번호}] [{상품명}]의 연금확정기간은 {    }입니다.,,API
47,"연금지급방법이 어떻게 되나요?
연금 받는 주기가 어떻게 되어있나요?
연금 지급되는 주기가 궁금해요
연금 지급 주기 알려주세요.
연금 수령하는 주기가 어떻게 돼있나?",증번 [{증권번호}] [{상품명}]의 연금지급주기는 {   }입니다. ,,API
48,"연금 지급형태가 어떻게 되어있나요?
가입한 보험 연금 지급형태 확인해줘 
내보험 연금 지급형태가 어떤건가요?
내보험의 연금 지급형태 조회해줘 
연금 지급 방식이 궁금해요",증번 [{증권번호}] [{상품명}]의 연금 지급형태는 {    }입니다. ,,API
49,"연금개시일이 언제인가요?
연금개시일자 확인해주세요 
연금 개시일은 몇일인가요? 
연금개시일 알려줘 
언제가 연금개시일이지?",증번 [{증권번호}] [{상품명}]의 연금 개시일은 { YYYY년 MM월 DD일 }입니다. ,,API
50,"연금 종류가 어떻게 되어있나요? 
설정되어있는 연금종류가 뭔가요?
가입되어있는 연금 종류가 뭔가요?
내보험의 연금종류 확인해줘 
내보험의 연금종류가 어떤건가요?",증번 [{증권번호}] [{상품명}]의 연금 종류는 {    }입니다. ,,API
51,"상해수익자가 누구로 되어있어
상해수익자가 누구지?
상해수익자가 누군지 확인해줘
입원비 청구하는사람 누군지 확인해봐
수술비 청구하는사람 누군지 확인해줘
사망수익자가 누구로 되어있어?
사망수익자가 누구지?
사망수익자가 누군지 확인해봐
사망보험금 받는 사람이 누구야?
사망보험금 받는 수익자가 누구로 되어 있나요?","증번 [{증권번호}] [{상품명}]의 상해수익자는 {   }님 입니다. 

증번 [{증권번호}] [{상품명}]의 사망수익자는 {   }님 입니다. ",,API
52,"만기수익자가 누구로 되어있어?
만기수익자가 누구지?
만기보험금 받는사람이 누구지?
내보험의 만기수익자 확인해줘
누가 만기수익자인지 확인해줘",증번 [{증권번호}] [{상품명}]의 만기수익자는 {   }님 입니다. ,,API
53,"원화환산대상상품 인가요? 
원화환산에 해당하는 상품인가요? 
원화환산서비스 이용 가능한 상품인가요? 
원환한산 서비스 대상상품인가요? 
원환환산서비스 적용대상 상품인가요?",증번 [{증권번호}] [{상품명}]은 원화환산 서비스 적용 대상입니다.  ,,API
54,"보험기간이 어떻게 되나요? 
보험기간이 종신인가요? 
보험기간은 언제까지인가요? 
보험기간이 몇 년인가요? 
보험기간 알려주세요",증번 [{증권번호}] [{상품명}]의 보험 기간은 {   }입니다. ,,API
55,"피보험자가 누구로 되어있어? 
피보함자가 누구지?
보험대상자가 누구지? 
보장받는 사람이 누구지? 
누가 피보험자인지 확인해줘 ",증번 [{증권번호}] [{상품명}]의 보험대상자는 {   }님 입니다. ,,API
56,"만기일자 확인해줘 
만기일자가 몇일이야? 
언제가 만기죠? 
만기일자가 어떻게 되나요? 
만기되는날이 언제인가요?",증번 [{증권번호}] [{상품명}]의 보험 만기일은 {   }입니다. ,,API
57,"예금주가 누구로 되어있지? 
예금주가 누구지? 
예금주가 누군지 확인해줘 
자동이체 예금주가 누구로 되어있는지 알려줘 
자동이체 누구이름으로 되어있지? 
2연체 결제 신청되어있나요? 
2연체 휴대폰결제 신청되어있나요? 
실효방지 휴대폰결제 서비스 신청되어있나요? 
실효방지 휴대대폰결제 번호 알려주세요. 
2연체결제 휴대폰 번호 확인해줘 
2연체결제 휴대폰번호 알려주세요. 
2연체결제 실효방지 서비스 핸드폰번호 알려줘 
실효방지 휴데폰결제 서비스 핸드폰번호 확인해줘 
실효방지 휴대폰결제 서비스 휴대폰 번호 몇번이야?","증번 [{증권번호}] [{상품명}]의 보험료 납입자는 {   }님 입니다. 

증번 [{증권번호}] [{상품명}]는 실효방지를 위해 휴대폰소액결제 서비스가 신청되어 있습니다. 

증번 [{증권번호}] [{상품명}]는 실효방지를 위한 휴대폰소액결제 서비스가 신청되어 있지 않습니다. 

증번 [{증권번호}] [{상품명}]에 등록된 휴대폰소액결제서비스의 휴대폰번호는 010-0000-**** 입니다.  ",,API
58,"증권번호 알려줘 
증권번호가 어떻게 되나요? 
증권번호 조회해줘 
증권번호 확인해줘 
증권번호 알고싶어요", [{상품명}]의 증권번호는 {      }입니다.,,API
59,"적립서비스 금액이 얼마야? 
적립서비스 금액 알려줘 
적립서비스 금액 얼마나돼? 
적릭서비스 금액 조회해줘 
적립서비스 금액 확인하고 싶어요
적립보험료 금액이 얼마야?
적립보험료 금액 알려줘
적립보험료 금액 얼마나돼?
적립보험료 금액 조회해줘
적립할인보험료 금액 확인하고 싶어요
합계보험료 금액이 얼마야?
함계보험료 금액 알려줘
합계보험료 금액 얼마나돼?
합계보험료 금액 조회해줘
합계할인보험료 금액 확인하고 싶어요
합계할인보험료 금액이 얼마야?
함계할인보험료 금액 알려줘
합계할인보험료 금액 얼마나돼?
합계할인보험료 금액 조회해줘
합계할인보험료 금액 확인하고 싶어요",현재 계약에 따른 보험료 금액은 {contract_premium_amount}입니다.,,API
60,"가입한 보험 상품명 확인해줘 
내보험 상품이름이 뭐야?
가입한 상품 이름 알려줘 
내보험 상품명 조회 해줘 
내보험 상품명 어떻게 되나요?",가입하신 보험 상품명은 {    }입니다. ,,API
61,"언제 부활했죠 
부활한 날짜가 어떻게 되나요? 
몇일에 부활했나요? 
부활일자 조회해줘",증번 [{증권번호}] [{상품명}]의 부활 일자는 {    }입니다.,,API
62,"계약일자가 어떻게 되나요? 
언제 계약했죠? 
계약한 날짜가 언제인가요? 
계약일자가 몇일이죠? 
계약일자 확인해주세요",증번 [{증권번호}] [{상품명}]의 보험 계약일자는 {    }입니다.,,API
63,"현재 계약상태가 어떻게되나요?
계약상태 알려줘 
계약상태 조회해줘 
현재 계약상태 정상인가요? 
정상 계약인가요?
휴면 계약 있나요?
휴면 상태인 보험 있어요?
제 보험 주에 휴면된 계약 있나요?
지금 휴면 처리된 계약 있는지 확인해줘
혹시 안 쓰는 보험 같은게 있나요?","증번 [{증권번호}] [{상품명}]의 현재 계약 상태는 {    }입니다. 

현재 고객님 명의의 휴면계약은 없습니다. 

현재 고객님 명의의 휴면계약이 존재합니다. 
--> 휴면계약존재여부 데이터만으로는 고객답변에 한계있습니다. 몇 건이 존재한다~~ 와 같이 휴면계약 건수와 해당 증번과 상품명이 구분 필요한데 그렇지 못한다면, 휴면계약존재여부 데이터만으로 이용은 의미가 없음요. ","1. 정으호 계약건(대표증번 81048246)
1) 완납된 계약이 있나요? 
증 10501271

2) 2025년 10월까지 보험료 납부(또는 보험료 납부 안한 계약이 있나요?_게발환경상 202510월이 미납)한 계약이 있나요? 
보험료는 얼마인가요? 

증 2347932, 35075392 두 건이고,
월보험료는 200,000원, 10,720원입니다.

2. 김옥호 계약건(대표증번 23047889)
1) 실효된 계약이 있나요? 증25658666 
2) 만기된 계약은요? 증81017609",API
64,"송금계좌 확인해줘 
송금계좌가 어디로 되어있는지 확인해줘 
송금계좌 등록되어있나요? 
등록된 송금계좌 확인해줘 
송금계좌 어떤게 등록되어있나요?","단건일때 : 등록된 송금계좌는 [{은행명}] [{계좌번호}] 입니다. 

다건일때 : 
등록된 송금계좌는 총 O건입니다. 
[{은행명}] [{계좌번호}]
[{은행명}] [{계좌번호}]
....

(*참고, 송금계좌는 증번별이 아닌 계약자 기준으로 등록되므로 증번 안내 없이 답변)",,API
65,"보험금지급된 내역 알려주세요 
OO으로 보험금청구했었는데 지급 되었나요?
내가 청구한 보험금 언제 지급되었는지 알려주세요
보험금 청구한 내용으로 얼마가 지급 됐나요?
이번년도에 지급받은 보험금이 있는지 알려주세요","피보험자 [{피보험자명}]님 기준으로 보험금 지급내역을 안내 드립니다. 

지급일자 | 보장명칭 | 지급사유 | 지급금액 
지급일자 | 보장명칭 | 지급사유 | 지급금액
 .......",,API
66,"대출이자 납입하는 계좌번호 알려줘 
대출이자 납입계좌 조회해줘 
대출이자 납입계좌번호 확인해줘 
대출이자 이체일이 몇일이지? 
자동이체로 대출이자 납입하는 이체일 확인요청",증번 [{증권번호}] [{상품명}]의 대출이자 자동이체 계좌는 [{은행명}] [{계좌번호}] 입니다.,,API
67,"대출이자 납입하는 이체일 알려줘 
대출이자 이체일 조회해줘 
대출이자 자동이체 이체일 확인해줘 
대출이자 이체일이 몇일이지? 
자동이체로 대출이자 납입하는 이체일 확인요청",증번 [{증권번호}] [{상품명}]의 대출이자 자동이체 일자는 {     }일 입니다.,,API
68,"우편물 어디로 받기로 했나요? 
우편물 수령지 어디로 되어있나요? 
우편물 수령지 자택인가요? 
우편물 어디로 보내주나요? 
우편물 수령지 확인해주세요",고객님의 우편물 수령지는 {      } 입니다. ,,API
69,"자동이체 계좌번호 확인해주세요
자동이체 계좌 조회해줘
자동이체 연결된 계좌번호 확인요청 
자동이체 계좌번호 보여줘
자동이체 연결된 계좌번호 알려주세요",증번 [{증권번호}] [{상품명}]의 보험료 자동이체 계좌는 [{은행명}] [{계좌번호}] 입니다.,,API
70,"초회추가납입 얼마했었나요? 
초회추가납입 했었나요? 
초회추가납입 금액 알려주세요 
초회 추가납입 금액 있었나요? 
가입당시 추가납입 같이 했었나요?",증번 [{증권번호}] [{상품명}]에서 초회에 추가로 납입한 보험료는 {   }원 입니다. ,,API
71,"보험료 어떤방법으로 납부하고 있나요? 
보험료 카드납부 하고있나요? 
보험료 계좌 자동이체 연결되어있나요? 
보험료 납입방법이 어떻게 되어 있나요? 
자동이체 연결되어있나요? 
몇월까지 지로 발행 해줬나요? 
이번달 보험료 지로발행했나요? 
지로 몇월까지 발행했는지 확인해봐 
이번달 지로 발행했나요?
지로발행 몇월까지 했는지 확인해주세요",증번 [{증권번호}] [{상품명}]의 보험료는 {    수금방법  } 방식으로 등록되어 있습니다. ,,API
72,"월추가납입 얼마하기로했죠? 
월추가보험료 금액 확인해주세요 
월추가보험료 설정되어있나요? 
월추가보험료 얼마로 신청되어있나요? 
월추가납입 신청된 금액 확인해주세요",증번 [{증권번호}] [{상품명}]의 매월 추가로 납입하는 보험료는 {       }원 입니다. ,,API
73,"보험료 지금까지 총 몇번 납입했나요? 
납입회차 확인해줘 
보험료 총납입회차 확인해줘 
보험료 몇번 납입했나요? 
지금까지 몇회차 납입했나요?",증번 [{증권번호}] [{상품명}]의 보험료 납입횟수는 총 {       }회 입니다. ,,API
74,"납입주기가 어떻게 되어있나요? 
연납으로 되어있나요? 
보험료 월압으로 되어있나요? 
현재 보험료는 매월납부하는걸로 되어있나요? 
내보험 납입주기 확인해줘",증번 [{증권번호}] [{상품명}]의 보험료 납입주기는 {       } 입니다. ,,API
75,"납입기간이 몇 년인가요? 
납임기간이 어떻게 되나요? 
내보험 납입기간 확인해주세요 
언제까지 납부해야하나요?",증번 [{증권번호}] [{상품명}]의 보험료 납입기간은 {       } 입니다. ,,API
76,"보험료 이체일이 언제지?
보험료 이체일자 확인해줘 
보험료 이체일이 몇일이지? 
보험료 이체일 지났나요?
몇일이 보험료 이체일자죠?",증번 [{증권번호}] [{상품명}]의 보험료 이체일자는 {       }일 입니다. ,,API
77,"송금계좌가 등록되어 있나요?
송금계좌가 신청되어 있는지 확인해주세요
송금계좌가 어느 은행으로 되어 있나요?
등록된 송금계좌가 몇 개인가요?
OO은행으로 된 송금계좌가 있는지 알려주세요","- 다건인 경우 답변:
   등록된 송금계좌는 총 {  }건 으로, 아래와 같습니다.
    {은행명1} {계좌번호2}
    {은행명2} {계좌번호2}
      ...

- 단건인 경우 답변:
   등록된 송금계좌는 {은행명} {계좌번호} 입니다. 

- 특정건을 질문(ex. 00은행 송금계좌 있나요)한 경우 답변: 
  {은행명} {계좌번호}로 등록된 송금계좌 입니다. 
    ",,API
78,"예금주가 누구로 되어있지? 
예금주가 누구지? 
예금주가 누군지 확인해줘 
자동이체 예금주가 누구로 되어있는지 알려줘 
자동이체 누구이름으로 되어있지? ",증번 [{증권번호}] [{상품명}]의 보험료 납입자는 {   }님 입니다.,,API
79,"2연체 결제 신청되어있나요? 
2연체 휴대폰결제 신청되어있나요? 
실효방지 휴대폰결제 서비스 신청되어있나요? 
실효방지 휴대대폰결제 번호 알려주세요. 
2연체결제 휴대폰 번호 확인해줘 
2연체결제 휴대폰번호 알려주세요. 
2연체결제 실효방지 서비스 핸드폰번호 알려줘 
실효방지 휴데폰결제 서비스 핸드폰번호 확인해줘 
실효방지 휴대폰결제 서비스 휴대폰 번호 몇번이야?","증번 [{증권번호}] [{상품명}]는 실효방지를 위해 휴대폰소액결제 서비스가 신청되어 있습니다. 

증번 [{증권번호}] [{상품명}]는 실효방지를 위한 휴대폰소액결제 서비스가 신청되어 있지 않습니다. 

증번 [{증권번호}] [{상품명}]에 등록된 휴대폰소액결제서비스의 휴대폰번호는 010-0000-**** 입니다.  ",,API
80,"현재 계약상태가 어떻게되나요?
계약상태 알려줘 
계약상태 조회해줘 
현재 계약상태 정상인가요? 
정상 계약인가요?""",증번 [{증권번호}] [{상품명}]의 현재 계약 상태는 {    }입니다. ,,API
81,"현재 계약상태가 어떻게되나요?
계약상태 알려줘 
계약상태 조회해줘 
현재 계약상태 정상인가요? 
정상 계약인가요?""",현재 고객님 명의의 휴면계약은 없습니다. ,,API
82,"""상해수익자가 누구로 되어있어
상해수익자가 누구지?
상해수익자가 누군지 확인해줘
입원비 청구하는사람 누군지 확인해봐
수술비 청구하는사람 누군지 확인해줘 """,증번 [{증권번호}] [{상품명}]의 상해수익자는 {   }님 입니다. ,,API
83,"사망수익자가 누구로 되어있어? 
사망수익자가 누구지? 
사망수익자가 누군지 확인해봐
사망보험금 받는 사람이 누구야? 
사망보험금 받는 수익자가 누구로 되어 A50",증번 [{증권번호}] [{상품명}]의 사망수익자는 {   }님 입니다. ,,API
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
